mobId,name,mobL,playerL,weapon,aura,armor,skill,build,vials,wins/reps,ttk_med_s,ttk_p90_s,endhp_med_frac
1001,Marsh Rat        ,1,1,fists,0,0,0,str,0,9/9,4.0,4.8,0.91
1001,Marsh Rat        ,1,1,2001,0,0,0,str,0,9/9,2.5,3.2,0.96
1001,Marsh Rat        ,1,1,2002,0,0,0,str,0,9/9,1.7,2.5,0.96
1001,Marsh Rat        ,1,1,2002,1,2101,0,str,0,9/9,1.7,2.5,0.97
1001,Marsh Rat        ,1,1,2002,1,2101,1,str,4,9/9,0.1,0.8,1.00
1001,Marsh Rat        ,1,1,2002,4,2102,1,str,6,9/9,0.1,0.8,1.00
1001,Marsh Rat        ,1,3,fists,0,0,0,str,0,9/9,4.0,4.8,0.92
1001,Marsh Rat        ,1,3,2001,0,0,0,str,0,9/9,2.5,3.2,0.96
1001,Marsh Rat        ,1,3,2002,0,0,0,str,0,9/9,1.7,2.5,0.96
1001,Marsh Rat        ,1,3,2002,1,2101,0,str,0,9/9,1.7,2.5,0.97
1001,Marsh Rat        ,1,3,2002,1,2101,1,str,4,9/9,0.1,0.8,1.00
1001,Marsh Rat        ,1,3,2002,4,2102,1,str,6,9/9,0.1,0.8,1.00
1002,Feral Ghoul      ,3,2,fists,0,0,0,str,0,9/9,8.8,12.1,0.28
1002,Feral Ghoul      ,3,2,2001,0,0,0,str,0,9/9,4.8,5.7,0.58
1002,Feral Ghoul      ,3,2,2002,0,0,0,str,0,9/9,3.2,4.0,0.67
1002,Feral Ghoul      ,3,2,2002,1,2101,0,str,0,9/9,2.5,3.2,0.79
1002,Feral Ghoul      ,3,2,2002,1,2101,1,str,4,9/9,1.6,2.0,0.92
1002,Feral Ghoul      ,3,2,2002,4,2102,1,str,6,9/9,1.6,4.0,0.84
1002,Feral Ghoul      ,3,3,fists,0,0,0,str,0,9/9,8.8,12.1,0.32
1002,Feral Ghoul      ,3,3,2001,0,0,0,str,0,9/9,4.8,5.7,0.60
1002,Feral Ghoul      ,3,3,2002,0,0,0,str,0,9/9,3.2,4.0,0.69
1002,Feral Ghoul      ,3,3,2002,1,2101,0,str,0,9/9,2.5,3.2,0.80
1002,Feral Ghoul      ,3,3,2002,1,2101,1,str,4,9/9,1.6,2.0,0.92
1002,Feral Ghoul      ,3,3,2002,4,2102,1,str,6,9/9,1.6,4.0,0.85
1002,Feral Ghoul      ,3,5,fists,0,0,0,str,0,9/9,7.2,10.4,0.42
1002,Feral Ghoul      ,3,5,2001,0,0,0,str,0,9/9,4.8,5.7,0.64
1002,Feral Ghoul      ,3,5,2002,0,0,0,str,0,9/9,2.5,3.2,0.80
1002,Feral Ghoul      ,3,5,2002,1,2101,0,str,0,9/9,2.5,3.2,0.82
1002,Feral Ghoul      ,3,5,2002,1,2101,1,str,4,9/9,0.8,2.0,0.93
1002,Feral Ghoul      ,3,5,2002,4,2102,1,str,6,9/9,1.6,4.0,0.86
1003,Hollow Hound     ,5,4,fists,0,0,0,str,0,1/9,8.8,10.4,0.00
1003,Hollow Hound     ,5,4,2001,0,0,0,str,0,4/9,7.2,9.7,0.00
1003,Hollow Hound     ,5,4,2002,0,0,0,str,0,7/9,4.8,7.2,0.30
1003,Hollow Hound     ,5,4,2002,1,2101,0,str,0,9/9,4.0,8.1,0.46
1003,Hollow Hound     ,5,4,2002,1,2101,1,str,4,9/9,3.2,4.0,0.68
1003,Hollow Hound     ,5,4,2002,4,2102,1,str,6,9/9,2.0,4.8,0.71
1003,Hollow Hound     ,5,5,fists,0,0,0,str,0,3/9,9.7,11.2,0.00
1003,Hollow Hound     ,5,5,2001,0,0,0,str,0,5/9,8.8,10.4,0.01
1003,Hollow Hound     ,5,5,2002,0,0,0,str,0,9/9,4.8,9.7,0.34
1003,Hollow Hound     ,5,5,2002,1,2101,0,str,0,9/9,4.0,8.1,0.49
1003,Hollow Hound     ,5,5,2002,1,2101,1,str,4,9/9,3.2,4.0,0.53
1003,Hollow Hound     ,5,5,2002,4,2102,1,str,6,9/9,2.0,4.0,0.72
1003,Hollow Hound     ,5,7,fists,0,0,0,str,0,4/9,9.7,11.2,0.00
1003,Hollow Hound     ,5,7,2001,0,0,0,str,0,5/9,8.8,10.4,0.10
1003,Hollow Hound     ,5,7,2002,0,0,0,str,0,9/9,4.0,8.1,0.50
1003,Hollow Hound     ,5,7,2002,1,2101,0,str,0,9/9,3.2,4.8,0.54
1003,Hollow Hound     ,5,7,2002,1,2101,1,str,4,9/9,3.2,4.0,0.57
1003,Hollow Hound     ,5,7,2002,4,2102,1,str,6,9/9,2.0,4.0,0.75
1004,Plague Bat       ,2,1,fists,0,0,0,str,0,9/9,3.2,7.2,0.73
1004,Plague Bat       ,2,1,2001,0,0,0,str,0,9/9,1.6,4.0,0.84
1004,Plague Bat       ,2,1,2002,0,0,0,str,0,9/9,0.8,4.0,0.89
1004,Plague Bat       ,2,1,2002,1,2101,0,str,0,9/9,0.1,0.8,0.96
1004,Plague Bat       ,2,1,2002,1,2101,1,str,4,9/9,0.1,0.8,1.00
1004,Plague Bat       ,2,1,2002,4,2102,1,str,6,9/9,0.1,1.6,1.00
1004,Plague Bat       ,2,2,fists,0,0,0,str,0,9/9,3.2,7.2,0.75
1004,Plague Bat       ,2,2,2001,0,0,0,str,0,9/9,0.8,4.0,0.90
1004,Plague Bat       ,2,2,2002,0,0,0,str,0,9/9,0.8,4.0,0.90
1004,Plague Bat       ,2,2,2002,1,2101,0,str,0,9/9,0.1,0.8,0.96
1004,Plague Bat       ,2,2,2002,1,2101,1,str,4,9/9,0.1,0.8,1.00
1004,Plague Bat       ,2,2,2002,4,2102,1,str,6,9/9,0.1,1.6,1.00
1004,Plague Bat       ,2,4,fists,0,0,0,str,0,9/9,3.2,4.8,0.78
1004,Plague Bat       ,2,4,2001,0,0,0,str,0,9/9,0.8,4.0,0.91
1004,Plague Bat       ,2,4,2002,0,0,0,str,0,9/9,0.1,0.8,0.96
1004,Plague Bat       ,2,4,2002,1,2101,0,str,0,9/9,0.1,0.8,0.96
1004,Plague Bat       ,2,4,2002,1,2101,1,str,4,9/9,0.1,0.8,1.00
1004,Plague Bat       ,2,4,2002,4,2102,1,str,6,9/9,0.1,0.8,1.00
1005,Bonepicker Gnoll ,7,6,fists,0,0,0,str,0,0/9,11.1,12.1,0.00
1005,Bonepicker Gnoll ,7,6,2001,0,0,0,str,0,1/9,11.1,11.1,0.00
1005,Bonepicker Gnoll ,7,6,2002,0,0,0,str,0,6/9,8.1,10.4,0.18
1005,Bonepicker Gnoll ,7,6,2002,1,2101,0,str,0,8/9,6.5,9.7,0.35
1005,Bonepicker Gnoll ,7,6,2002,1,2101,1,str,4,9/9,4.0,7.2,0.74
1005,Bonepicker Gnoll ,7,6,2002,4,2102,1,str,6,9/9,4.8,8.1,0.76
1005,Bonepicker Gnoll ,7,7,fists,0,0,0,str,0,0/9,11.1,12.1,0.00
1005,Bonepicker Gnoll ,7,7,2001,0,0,0,str,0,1/9,11.1,11.1,0.00
1005,Bonepicker Gnoll ,7,7,2002,0,0,0,str,0,6/9,8.1,8.1,0.22
1005,Bonepicker Gnoll ,7,7,2002,1,2101,0,str,0,8/9,6.5,9.7,0.38
1005,Bonepicker Gnoll ,7,7,2002,1,2101,1,str,4,9/9,3.2,6.5,0.63
1005,Bonepicker Gnoll ,7,7,2002,4,2102,1,str,6,9/9,4.8,7.2,0.77
