mobId,name,mobL,playerL,weapon,aura,armor,skill,build,vials,wins/reps,ttk_med_s,ttk_p90_s,endhp_med_frac
1001,Marsh Rat        ,1,1,fists,0,0,0,str,0,7/7,4.8,4.8,0.87
1001,Marsh Rat        ,1,1,2001,0,0,0,str,0,7/7,3.2,4.0,0.87
1001,Marsh Rat        ,1,1,2002,0,0,0,str,0,7/7,2.5,2.5,0.91
1001,Marsh Rat        ,1,1,2002,1,2101,0,str,0,7/7,2.5,2.5,0.94
1001,Marsh Rat        ,1,1,2002,1,2101,1,str,4,7/7,0.1,0.8,1.00
1001,Marsh Rat        ,1,1,2002,4,2102,1,str,6,7/7,0.1,0.8,1.00
1001,Marsh Rat        ,1,3,fists,0,0,0,str,0,7/7,4.8,4.8,0.89
1001,Marsh Rat        ,1,3,2001,0,0,0,str,0,7/7,3.2,4.0,0.89
1001,Marsh Rat        ,1,3,2002,0,0,0,str,0,7/7,2.5,2.5,0.92
1001,Marsh Rat        ,1,3,2002,1,2101,0,str,0,7/7,2.5,2.5,0.94
1001,Marsh Rat        ,1,3,2002,1,2101,1,str,4,7/7,0.1,0.8,1.00
1001,Marsh Rat        ,1,3,2002,4,2102,1,str,6,7/7,0.1,0.8,1.00
1002,Feral Ghoul      ,3,2,fists,0,0,0,str,0,6/7,9.7,11.2,0.28
1002,Feral Ghoul      ,3,2,2001,0,0,0,str,0,7/7,5.7,7.2,0.58
1002,Feral Ghoul      ,3,2,2002,0,0,0,str,0,7/7,4.8,4.8,0.67
1002,Feral Ghoul      ,3,2,2002,1,2101,0,str,0,7/7,3.2,4.0,0.76
1002,Feral Ghoul      ,3,2,2002,1,2101,1,str,4,7/7,1.6,2.0,0.92
1002,Feral Ghoul      ,3,2,2002,4,2102,1,str,6,7/7,0.8,2.0,0.92
1002,Feral Ghoul      ,3,3,fists,0,0,0,str,0,7/7,9.7,11.2,0.32
1002,Feral Ghoul      ,3,3,2001,0,0,0,str,0,7/7,5.7,7.2,0.60
1002,Feral Ghoul      ,3,3,2002,0,0,0,str,0,7/7,4.8,4.8,0.69
1002,Feral Ghoul      ,3,3,2002,1,2101,0,str,0,7/7,3.2,4.0,0.77
1002,Feral Ghoul      ,3,3,2002,1,2101,1,str,4,7/7,1.6,2.0,0.92
1002,Feral Ghoul      ,3,3,2002,4,2102,1,str,6,7/7,0.8,2.0,0.92
1002,Feral Ghoul      ,3,5,fists,0,0,0,str,0,7/7,8.1,10.4,0.49
1002,Feral Ghoul      ,3,5,2001,0,0,0,str,0,7/7,5.7,7.2,0.64
1002,Feral Ghoul      ,3,5,2002,0,0,0,str,0,7/7,3.2,4.0,0.77
1002,Feral Ghoul      ,3,5,2002,1,2101,0,str,0,7/7,3.2,4.0,0.80
1002,Feral Ghoul      ,3,5,2002,1,2101,1,str,4,7/7,0.8,1.6,0.93
1002,Feral Ghoul      ,3,5,2002,4,2102,1,str,6,7/7,0.8,1.6,0.93
1003,Hollow Hound     ,5,4,fists,0,0,0,str,0,0/7,8.9,11.3,0.00
1003,Hollow Hound     ,5,4,2001,0,0,0,str,0,2/7,8.9,9.7,0.00
1003,Hollow Hound     ,5,4,2002,0,0,0,str,0,5/7,6.5,8.1,0.22
1003,Hollow Hound     ,5,4,2002,1,2101,0,str,0,7/7,4.8,6.5,0.46
1003,Hollow Hound     ,5,4,2002,1,2101,1,str,4,7/7,2.0,3.2,0.68
1003,Hollow Hound     ,5,4,2002,4,2102,1,str,6,7/7,2.0,4.0,0.80
1003,Hollow Hound     ,5,5,fists,0,0,0,str,0,0/7,9.7,12.1,0.00
1003,Hollow Hound     ,5,5,2001,0,0,0,str,0,3/7,9.7,9.7,0.00
1003,Hollow Hound     ,5,5,2002,0,0,0,str,0,6/7,6.5,8.1,0.26
1003,Hollow Hound     ,5,5,2002,1,2101,0,str,0,7/7,4.8,6.5,0.49
1003,Hollow Hound     ,5,5,2002,1,2101,1,str,4,7/7,2.0,3.2,0.69
1003,Hollow Hound     ,5,5,2002,4,2102,1,str,6,7/7,2.0,4.0,0.81
1003,Hollow Hound     ,5,7,fists,0,0,0,str,0,1/7,10.5,12.1,0.00
1003,Hollow Hound     ,5,7,2001,0,0,0,str,0,4/7,8.8,9.7,0.10
1003,Hollow Hound     ,5,7,2002,0,0,0,str,0,7/7,4.8,6.5,0.50
1003,Hollow Hound     ,5,7,2002,1,2101,0,str,0,7/7,4.8,6.5,0.54
1003,Hollow Hound     ,5,7,2002,1,2101,1,str,4,7/7,2.0,3.2,0.72
1003,Hollow Hound     ,5,7,2002,4,2102,1,str,6,7/7,2.0,3.2,0.83
1004,Plague Bat       ,2,1,fists,0,0,0,str,0,7/7,3.2,5.7,0.73
1004,Plague Bat       ,2,1,2001,0,0,0,str,0,7/7,1.6,4.0,0.84
1004,Plague Bat       ,2,1,2002,0,0,0,str,0,7/7,1.6,4.0,0.84
1004,Plague Bat       ,2,1,2002,1,2101,0,str,0,7/7,0.8,2.5,0.96
1004,Plague Bat       ,2,1,2002,1,2101,1,str,4,7/7,0.1,0.1,1.00
1004,Plague Bat       ,2,1,2002,4,2102,1,str,6,7/7,0.1,0.8,1.00
1004,Plague Bat       ,2,2,fists,0,0,0,str,0,7/7,3.2,5.7,0.75
1004,Plague Bat       ,2,2,2001,0,0,0,str,0,7/7,1.6,4.0,0.85
1004,Plague Bat       ,2,2,2002,0,0,0,str,0,7/7,1.6,4.0,0.85
1004,Plague Bat       ,2,2,2002,1,2101,0,str,0,7/7,0.8,2.5,0.96
1004,Plague Bat       ,2,2,2002,1,2101,1,str,4,7/7,0.1,0.1,1.00
1004,Plague Bat       ,2,2,2002,4,2102,1,str,6,7/7,0.1,0.8,1.00
1004,Plague Bat       ,2,4,fists,0,0,0,str,0,7/7,3.2,5.7,0.82
1004,Plague Bat       ,2,4,2001,0,0,0,str,0,7/7,1.6,4.0,0.87
1004,Plague Bat       ,2,4,2002,0,0,0,str,0,7/7,0.8,2.5,0.96
1004,Plague Bat       ,2,4,2002,1,2101,0,str,0,7/7,0.8,2.5,0.96
1004,Plague Bat       ,2,4,2002,1,2101,1,str,4,7/7,0.1,0.1,1.00
1004,Plague Bat       ,2,4,2002,4,2102,1,str,6,7/7,0.1,0.1,1.00
1005,Bonepicker Gnoll ,7,6,fists,0,0,0,str,0,0/7,11.1,13.1,0.00
1005,Bonepicker Gnoll ,7,6,2001,0,0,0,str,0,1/7,11.1,12.8,0.00
1005,Bonepicker Gnoll ,7,6,2002,0,0,0,str,0,5/7,8.1,9.7,0.04
1005,Bonepicker Gnoll ,7,6,2002,1,2101,0,str,0,7/7,7.2,8.8,0.27
1005,Bonepicker Gnoll ,7,6,2002,1,2101,1,str,4,7/7,4.8,6.5,0.61
1005,Bonepicker Gnoll ,7,6,2002,4,2102,1,str,6,7/7,4.8,4.8,0.64
1005,Bonepicker Gnoll ,7,7,fists,0,0,0,str,0,0/7,11.1,13.1,0.00
