[siege-trace] t137a__04 t=42244 (22,9) map=1 stage=0 hp=100%
[siege-trace] t137a__08 t=42244 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=42244 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=42244 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=42244 (26,25) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=42244 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=42245 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=42245 (31,14) map=1 stage=0 hp=100%
[siege-trace] t137a__05 t=42246 (22,12) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=42246 (26,17) map=1 stage=0 hp=100%
[siege-trace] t137a__02 t=42246 (31,3) map=1 stage=0 hp=100%
[siege-trace] t137a__07 t=42247 (33,16) map=1 stage=0 hp=100%
[siege-trace] t137a__04 t=42274 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__08 t=42274 (5,21) map=1 stage=0 hp=100%
[siege-trace] t137a__01 t=42274 (22,29) map=1 stage=0 hp=100%
[siege-trace] t137a__00 t=42274 (40,6) map=1 stage=0 hp=100%
[siege-trace] t137a__09 t=42274 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137a__06 t=42275 (37,7) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=42275 (16,16) map=6 stage=2 hp=60%
[siege-trace] t137a__03 t=42276 (32,16) map=1 stage=0 hp=97%
[siege-trace] t137a__05 t=42276 (24,14) map=1 stage=0 hp=94%
[siege-trace] t137a__02 t=42277 (27,6) map=1 stage=0 hp=100%
[siege-trace] t137a__11 t=42279 (13,24) map=6 stage=2 hp=95%
[siege-trace] t137a__07 t=42282 (14,23) map=6 stage=1 hp=51%
[siege-trace] t137a__04 t=42304 (23,10) map=6 stage=3 hp=88%
[siege-trace] t137a__00 t=42304 (23,10) map=6 stage=3 hp=90%
[siege-trace] t137a__09 t=42304 (23,10) map=6 stage=3 hp=89%
[siege-trace] t137a__06 t=42305 (23,10) map=6 stage=3 hp=88%
[siege-trace] t137a__08 t=42305 (8,17) map=1 stage=0 hp=100%
[siege-trace] t137a__10 t=42305 (23,10) map=6 stage=3 hp=58%
[siege-trace] t137a__01 t=42305 (21,25) map=1 stage=0 hp=100%
[siege-trace] t137a__03 t=42306 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__05 t=42306 (23,10) map=1 stage=3 hp=64%
[siege-trace] t137a__02 t=42307 (23,10) map=1 stage=3 hp=100%
[siege-trace] t137a__11 t=42309 (23,10) map=6 stage=3 hp=100%
[siege-trace] t137a__07 t=42312 (23,10) map=6 stage=3 hp=54%
[siege-trace] t137a__04 t=42334 (26,10) map=6 stage=4 hp=94%
[siege-trace] t137a__00 t=42334 (26,10) map=6 stage=4 hp=96%
[siege-trace] t137a__09 t=42334 (26,10) map=6 stage=4 hp=94%
[siege-trace] t137a__06 t=42335 (26,10) map=6 stage=4 hp=93%
[siege-trace] t137a__08 t=42335 (23,11) map=6 stage=3 hp=100%
[siege-trace] t137a__10 t=42335 (26,10) map=6 stage=4 hp=63%
[siege-trace] t137a__01 t=42335 (23,11) map=6 stage=3 hp=96%
[siege-trace] t137a__03 t=42336 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__05 t=42336 (26,10) map=1 stage=4 hp=63%
[siege-trace] t137a__02 t=42337 (26,10) map=1 stage=4 hp=100%
[siege-trace] t137a__11 t=42339 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__07 t=42342 (26,10) map=6 stage=4 hp=59%
[siege-trace] t137a__04 t=42364 (25,22) map=6 stage=5 hp=79%
[siege-trace] t137a__00 t=42364 (25,22) map=6 stage=5 hp=91%
[siege-trace] t137a__09 t=42364 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42365 (25,22) map=6 stage=5 hp=99%
[siege-trace] t137a__08 t=42365 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__10 t=42365 (25,22) map=6 stage=5 hp=68%
[siege-trace] t137a__01 t=42365 (26,10) map=6 stage=4 hp=100%
[siege-trace] t137a__03 t=42366 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__05 t=42366 (28,10) map=1 stage=5 hp=61%
[siege-trace] t137a__02 t=42367 (44,6) map=1 stage=5 hp=85%
[siege-trace] t137a__11 t=42369 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__07 t=42372 (28,10) map=6 stage=5 hp=64%
[siege-trace] t137a__04 t=42394 (24,18) map=6 stage=5 hp=83%
[siege-trace] t137a__00 t=42394 (25,18) map=6 stage=5 hp=86%
[siege-trace] t137a__09 t=42394 (28,10) map=6 stage=5 hp=100%
[siege-trace] t137a__06 t=42395 (25,18) map=6 stage=5 hp=100%
