[boot] zone 2 (assets/maps/fields_overflow.bhmap: 64x48) online
[boot] zone 3 (assets/maps/thornwall_crypt.bhmap: 48x36) online
[boot] zone 4 (assets/maps/bonehowl_mine.bhmap: 56x40) online
[boot] zone 5 (assets/maps/drowned_crypt.bhmap: 48x36) online
[boot] zone 6 (assets/maps/weeping_castle.bhmap: 40x30) online
[rehearsal] siege window OPEN unconditionally (drill posture)
[auth] registration OPEN (prototype posture; --no-register to gate); limiter: 60 logins + 30 new accounts per 60s per IP, 10 consecutive bad-password fails -> 60s lockout
[journal] recording world to logs/t137_flip2.bwj (epoch 25)
[boot] bh_server on 0.0.0.0:7837 | map 'assets/maps/thornwall.bhmap' | db '/tmp/t137_flip2.db' | tick 20Hz | aoi 26
[net] t137d__00        entered the world (entity 207, online 1)
[net] t137d__01        entered the world (entity 208, online 2)
[net] t137d__02        entered the world (entity 209, online 3)
[net] t137a__00        entered the world (entity 210, online 4)
[net] t137a__01        entered the world (entity 211, online 5)
[net] t137a__02        entered the world (entity 212, online 6)
[net] t137a__03        entered the world (entity 213, online 7)
[net] t137a__04        entered the world (entity 214, online 8)
[net] t137a__05        entered the world (entity 215, online 9)
[net] t137a__06        entered the world (entity 216, online 10)
[net] t137a__07        entered the world (entity 217, online 11)
[net] t137a__08        entered the world (entity 218, online 12)
[net] t137a__09        entered the world (entity 219, online 13)
[net] t137a__10        entered the world (entity 220, online 14)
[net] t137a__11        entered the world (entity 221, online 15)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137a__04 -> map 6 at (20,27)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137d__01 -> map 6 at (20,27)
[zone] t137d__01 -> map 6 at (20,27)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__11 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__09 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__01 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[siege] battle joined until tick 1980000 (8 bands)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[soak] tick=600 online=15 entities=214 tickUs p50=797 p99=1933 worldHash=217f431954282d8c pkts=366/219912
[zone] t137d__00 -> map 1 at (34,16)
[zone] t137d__00 -> map 1 at (34,16)
[siege] Outer Gate breached by t137a__06
[soak] tick=1200 online=15 entities=208 tickUs p50=735 p99=1404 worldHash=ff34bb6033aee1b9 pkts=710/396765
[zone] t137a__06 -> map 1 at (32,16)
[zone] t137a__06 -> map 1 at (32,16)
[zone] t137a__07 -> map 1 at (32,16)
[zone] t137a__07 -> map 1 at (32,16)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137d__00 -> map 6 at (20,27)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (32,16)
[zone] t137a__05 -> map 1 at (32,16)
[zone] t137a__00 -> map 1 at (34,16)
[zone] t137a__00 -> map 1 at (34,16)
[zone] t137a__08 -> map 1 at (32,16)
[zone] t137a__08 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (32,16)
[zone] t137a__01 -> map 1 at (32,16)
[soak] tick=1800 online=15 entities=210 tickUs p50=791 p99=1340 worldHash=78b7c9e22cf9c400 pkts=1391/601369
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137d__00 -> map 1 at (34,16)
[siege] Inner Gate breached by t137a__04
[zone] t137d__00 -> map 1 at (34,16)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137a__06 -> map 1 at (32,16)
[zone] t137a__06 -> map 1 at (32,16)
[soak] tick=2400 online=15 entities=207 tickUs p50=823 p99=1385 worldHash=bca77b48f5635e74 pkts=2029/825709
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__03 -> map 1 at (34,16)
[zone] t137a__03 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137a__04 -> map 1 at (32,16)
[zone] t137a__04 -> map 1 at (32,16)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137a__08 -> map 1 at (34,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[soak] tick=3000 online=15 entities=208 tickUs p50=924 p99=1592 worldHash=d1f83f99b7570c7b pkts=2640/1114747
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__08 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137a__00 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137a__09 -> map 1 at (34,16)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__07 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 1 at (21,14)
[zone] t137a__05 -> map 1 at (21,14)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[soak] tick=3600 online=15 entities=206 tickUs p50=863 p99=1431 worldHash=74c223ba49ef50a6 pkts=3207/1357212
[zone] t137d__01 -> map 1 at (32,16)
[zone] t137d__01 -> map 1 at (32,16)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__10 -> map 1 at (34,16)
[zone] t137a__03 -> map 1 at (34,16)
[zone] t137a__03 -> map 1 at (34,16)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137a__03 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (32,16)
[zone] t137d__02 -> map 1 at (32,16)
[soak] tick=4200 online=15 entities=205 tickUs p50=800 p99=1321 worldHash=2a7449a3ddf8d4a9 pkts=3828/1566856
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__06 -> map 1 at (32,16)
[zone] t137a__06 -> map 1 at (32,16)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137a__10 -> map 1 at (21,14)
[zone] t137a__10 -> map 1 at (21,14)
[soak] tick=4800 online=15 entities=206 tickUs p50=797 p99=1355 worldHash=0329cbe449295c93 pkts=4415/1790590
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137a__05 -> map 1 at (34,16)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[soak] tick=5400 online=15 entities=206 tickUs p50=859 p99=1483 worldHash=d3053460cb1f00d9 pkts=5014/2050295
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137a__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137a__10 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__06 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[zone] t137a__05 -> map 6 at (20,27)
[soak] tick=6000 online=15 entities=208 tickUs p50=878 p99=1488 worldHash=eaa298d809a686f2 pkts=5599/2301145
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137d__02 -> map 1 at (34,16)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137a__02 -> map 1 at (34,16)
[zone] t137d__02 -> map 6 at (20,27)
[zone] t137d__02 -> map 6 at (20,27)
