[siege-trace] t137d__04 t=45873 (42,11) map=1 stage=0 hp=100%
[siege-trace] t137d__15 t=45874 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__08 t=45874 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__01 t=45874 (34,27) map=1 stage=0 hp=100%
[siege-trace] t137d__00 t=45874 (48,14) map=1 stage=0 hp=100%
[siege-trace] t137d__11 t=45874 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__09 t=45874 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__06 t=45874 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__12 t=45874 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__13 t=45875 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__10 t=45875 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__05 t=45876 (26,10) map=1 stage=0 hp=100%
[siege-trace] t137d__03 t=45876 (33,18) map=1 stage=0 hp=100%
[siege-trace] t137d__14 t=45876 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__02 t=45876 (26,6) map=1 stage=0 hp=100%
[siege-trace] t137d__07 t=45877 (32,16) map=1 stage=0 hp=100%
[siege-trace] t137d__04 t=45903 (28,10) map=6 stage=11 hp=97%
[siege-trace] t137d__15 t=45904 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=45904 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=45904 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=45904 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=45904 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=45904 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=45904 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=45904 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=45905 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=45905 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=45906 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=45906 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=45906 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=45906 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=45907 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=45933 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=45934 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=45934 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=45934 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=45934 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=45934 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=45934 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=45934 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=45934 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=45935 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=45935 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=45936 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=45936 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=45936 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=45936 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=45937 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=45963 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=45964 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=45964 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=45964 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=45964 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=45964 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=45964 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=45964 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=45964 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=45965 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=45965 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=45966 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=45966 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=45966 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=45966 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=45967 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=45993 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=45994 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=45994 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=45994 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=45994 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=45994 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=45994 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=45994 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=45994 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=45995 (28,10) map=6 stage=11 hp=100%
